epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1709.57,1.18291,0.61795,1.26986,0.96859,0.97681,0.98394,0.57018,1.57873,0.51219,1.65107,0.000339985,0.000339985,0.000339985
69,1736.11,1.20577,0.63173,1.28095,0.96803,0.99242,0.98644,0.55789,1.62803,0.51299,1.69241,0.000338689,0.000338689,0.000338689
70,1760.18,1.19001,0.61688,1.28648,0.95925,0.98577,0.98351,0.57168,1.54656,0.5087,1.6375,0.000337377,0.000337377,0.000337377
71,1785.83,1.18601,0.62489,1.28498,0.96545,0.98516,0.98121,0.5602,1.55599,0.51189,1.64764,0.00033605,0.00033605,0.00033605
72,1811.14,1.15607,0.59825,1.27268,0.96783,0.98688,0.97886,0.57608,1.5555,0.50917,1.65318,0.000334707,0.000334707,0.000334707
73,1835.19,1.15522,0.58335,1.26749,0.96083,0.98983,0.98644,0.58217,1.54572,0.49632,1.63773,0.000333348,0.000333348,0.000333348
74,1861.26,1.17501,0.59639,1.28293,0.94796,0.98072,0.97791,0.5615,1.60323,0.51882,1.68177,0.000331974,0.000331974,0.000331974
75,1888.34,1.18031,0.60191,1.27895,0.96658,0.98044,0.97815,0.57545,1.55316,0.50451,1.61609,0.000330586,0.000330586,0.000330586
76,1911.66,1.17341,0.5839,1.26856,0.95783,0.98355,0.97308,0.55499,1.59627,0.51324,1.67602,0.000329182,0.000329182,0.000329182
77,1937.03,1.17405,0.60206,1.28616,0.95726,0.97735,0.98015,0.5538,1.59306,0.51202,1.67213,0.000327763,0.000327763,0.000327763
